# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: H2O Plumbers
# Property: www.h2oplumbers.com
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251030
First user primary channel group (Default Channel Group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Paid Search,2650,5125,64,57.89622641509434,0.5822641509433962,19943,0,0
Direct,1044,1969,35,27.297892720306514,0.5181992337164751,8086,0,0
Referral,629,1249,3,503.7027027027027,0.9809220985691574,7254,0,0
Organic Search,252,496,35,105.6984126984127,1.1111111111111112,2769,0,0
Cross-network,15,29,2,48.93333333333333,0.8,163,0,0
Organic Social,9,17,0,5.222222222222222,0.8888888888888888,60,0,0
